elementi,selection,bubble,default
1000,0.06200361251831055,0.13400769233703613,0.0
2000,0.43102455139160156,0.6620378494262695,0.0
5000,1.6500942707061768,2.5351450443267822,0.0009999275207519531
10000,6.0443456172943115,9.605549573898315,0.0009999275207519531
10000,3.6462085247039795,7.266613721847534,0.0010001659393310547
10000,3.676727294921875,7.3899827003479,0.0010001659393310547
10000,3.6392078399658203,7.24541449546814,0.0010001659393310547
10000,3.4721293449401855,7.1235668659210205,0.002000093460083008
10000,3.5045323371887207,7.123196125030518,0.0010001659393310547
